coarse_mode,reranker,bge_large_en_v1.5,medembed,delta_med_minus_bge
coarse_off,reranker_off,0.5954438334642577,0.598586017282011,0.00314218381775333
coarse_off,reranker_on,0.5993715632364494,0.603299293008641,0.00392772977219169
coarse_k20,reranker_off,0.6001571091908877,0.593872741555381,-0.006284367635506771
coarse_k20,reranker_on,0.6017282010997643,0.6048703849175177,0.00314218381775333
