comparison_id,slice_definition,run_a_id,run_b_id,metric,delta,relative_delta_pct,p_value,ci_low,ci_high,test_name
zero_shot_rag_vs_no_rag,Best completed zero-shot RAG vs best completed zero-shot NO_RAG,NO_RAG|zero_shot|gemma3|base,RAG|medembed|dense|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot|v2,accuracy,0.045561665357,8.146067,0.00348701,0.016496465043,0.075412411626,McNemar exact + paired bootstrap CI
cot_rag_vs_no_rag,Best completed CoT RAG vs best completed CoT NO_RAG,NO_RAG|cot|llama3_med42_8b|v2,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|reformulation|llama3_med42_8b|cot|base,accuracy,0.006284367636,1.052632,0.68417649,-0.019638648861,0.033778476041,McNemar exact + paired bootstrap CI
best_medembed_vs_best_bge,Best MedEmbed-family RAG vs best BGE-family RAG,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|reformulation|llama3_med42_8b|cot|base,RAG|medembed|dense|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot|v2,accuracy,0.001571091909,0.260417,0.94500624,-0.021209740770,0.024351924588,McNemar exact + paired bootstrap CI
